interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,bpduFilter,bpduGuard,cdp,copyDescription,duplexMode,lacpPortPriority,lacpRate,lacpSuspend,lacpVpcConvergence,linkType,mirrorConfig,mtu,negotiateAuto,netflow,peer1MemberPorts,peer1PortChannelConfiguration,peer1PortChannelDescription,peer1PortChannelId,peer2MemberPorts,peer2PortChannelConfiguration,peer2PortChannelDescription,peer2PortChannelId,peerSwitchId,pfc,policyType,portChannelMode,portTypeEdgeTrunk,ptp,qos,speed,stormControl,stormControlAction,vlanMapping
vPC201,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/1""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0104bprhoso01d010-m3-02-2-bond0",201,"[""eth1/1""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0104bprhoso01d010-m3-02-2-bond0",201,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,,false
vPC202,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/2""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0104bprhoso01d010-m3-02-2-bond1",202,"[""eth1/2""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0104bprhoso01d010-m3-02-2-bond1",202,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC203,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/3""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0105bprhoso01d011-m3-02-4-bond0",203,"[""eth1/3""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0105bprhoso01d011-m3-02-4-bond0",203,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC204,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/4""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0105bprhoso01d011-m3-02-4-bond1",204,"[""eth1/4""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0105bprhoso01d011-m3-02-4-bond1",204,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC205,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/5""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0106bprhoso01d012-m3-02-6-bond0",205,"[""eth1/5""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0106bprhoso01d012-m3-02-6-bond0",205,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC206,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/6""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0106bprhoso01d012-m3-02-6-bond1",206,"[""eth1/6""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0106bprhoso01d012-m3-02-6-bond1",206,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC207,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/7""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0101bprhoso01d013-m3-02-8-bond0",207,"[""eth1/7""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0101bprhoso01d013-m3-02-8-bond0",207,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC208,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/8""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0101bprhoso01d013-m3-02-8-bond1",208,"[""eth1/8""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0101bprhoso01d013-m3-02-8-bond1",208,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC209,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/9""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0102bprhoso01d014-m3-02-10-bond0",209,"[""eth1/9""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0102bprhoso01d014-m3-02-10-bond0",209,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
vPC210,FLM300309CZ,vpc,trunk,nx-os,true,"none","default","enable",true,false,"auto",32768,"normal",false,false,"auto",false,"jumbo",true,false,"[""eth1/10""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0102bprhoso01d014-m3-02-10-bond1",210,"[""eth1/10""]","no lacp suspend-individual
storm-control broadcast level 10.00
storm-control multicast level 10.00
storm-control unicast level 10.00","to_sc0102bprhoso01d014-m3-02-10-bond1",210,"FLM30050K9E",false,"trunkVpcHost","active",true,false,false,"auto",false,"default",false
