interfaceName,switchId,interfaceType,mode,networkOSType,adminState,allowedVlans,cdp,debounceTimer,description,extraConfig,fec,lacpPortPriority,lacpRate,policyType,portChannelId,portChannelMode,primaryInterface,ptp
Ethernet1/2,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d002-m3-02-2-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel202,active,vPC202,FALSE
Ethernet1/3,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d008-m3-02-4-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel203,active,vPC203,FALSE
Ethernet1/4,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d008-m3-02-4-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel204,active,vPC204,FALSE
Ethernet1/5,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d014-m3-02-6-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel205,active,vPC205,FALSE
Ethernet1/6,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d014-m3-02-6-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel206,active,vPC206,FALSE
Ethernet1/7,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d020-m3-02-8-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel207,active,vPC207,FALSE
Ethernet1/8,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0101bprhoso01d020-m3-02-8-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel208,active,vPC208,FALSE
Ethernet1/9,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d026-m3-02-10-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel209,active,vPC209,FALSE
Ethernet1/10,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bprhoso01d026-m3-02-10-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel210,active,vPC210,FALSE
Ethernet1/11,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d032-m3-02-12-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel211,active,vPC211,FALSE
Ethernet1/12,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0103bprhoso01d032-m3-02-12-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel212,active,vPC212,FALSE
Ethernet1/13,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d038-m3-02-14-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel213,active,vPC213,FALSE
Ethernet1/14,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d038-m3-02-14-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel214,active,vPC214,FALSE
Ethernet1/15,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d044-m3-02-16-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel215,active,vPC215,FALSE
Ethernet1/16,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0105bprhoso01d044-m3-02-16-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel216,active,vPC216,FALSE
Ethernet1/17,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d050-m3-02-18-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel217,active,vPC217,FALSE
Ethernet1/18,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0106bprhoso01d050-m3-02-18-nic2-port4,lacp rate fast,auto,32768,normal,vpcMember,port-channel218,active,vPC218,FALSE
Ethernet1/1,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0104bprhoso01d002-m3-02-2-nic1-port2,lacp rate fast,auto,32768,normal,vpcMember,port-channel201,active,vPC201,FALSE
Ethernet1/19,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bplcmm002-m3-02-20-ocp-p2,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
Ethernet1/20,FLM300309CZ,ethernet,trunk,nx-os,TRUE,none,TRUE,100,to_sc0102bplcmm002-m3-02-20-nic2-p2,,auto,32768,fast,vpcMember,port-channel219,active,vPC219,FALSE
